"video_id","channel_title","channel_id","video_publish_date","video_title","video_description","video_category","video_view_count","video_comment_count","video_like_count","video_dislike_count","video_tags"
"7-50aWQw-V4","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-19,"Médico infectólogo del INS: ""No hay evidencia de la utilidad de los medicamentos""","El Dr. Manuel Espinoza, asesor del despacho de Salud Pública del Minsa, da las razones por las que los cuestionados fármacos Hidroxicloroquina, Ivermectina y Azitromicina seguirán aplicándose en pacientes ambulatorios de covid-19. 



#QuédateEnCasa
SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",8954,80,90,NA,"RPP|RPP Noticias|Noticias Peru|Perú"
"ORg4zEmISnk","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-20,"Carlos Caro: “Situación del presidente Vizcarra es bastante complicada”","El abogado penalista Carlos Caro sostuvo que la situación del presidente Martín Vizcarra es bastante complicada dado que ya hay cuatro colaboradores eficaces que revelan haber efectuado pagos corruptos.

#QuédateEnCasa
SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",1670,10,15,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Programas peruanos|Programas del Perú|Noticias del Perú|coronavirus peru|estado de emergencia peru|COVID-19 en Perú|Martín Vizcarra|cuarentena peru|Walter martos|Lava jato|odebrecht|Antonio Maldonado|zoraida avalos|carlos caro|obrainsa|fiscalia de la nacion|elmer chirre"
"UY9fFm8j-hM","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-20,"Vela sobre investigación a Vizcarra: “encontramos mucha evidencia que corrobora hechos sucedidos”","“No solamente analizamos la coherencia del testimonio, sino también la evidencia” dijo en RPP Rafael Vela, coordinador del equipo especial Lava Jato, al hablar sobre las declaraciones de los colaboradores eficaces en las investigaciones al presidente Vizcarra. 


SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",26822,157,220,NA,"RPP|RPP Noticias|Noticias Peru|Perú"
"UYOlu6_K6n8","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-20,"Rafael Vela: “nosotros no podemos limitar el testimonio de quien aspira a ser colaborador eficaz”","“Nosotros no condicionamos ningún tipo de testimonio”, sostuvo Rafael Vela, coordinador del Equipo Especial Lava Jato, con respecto a las investigaciones con respecto al presidente Martín Vizcarra. “Decisión del Equipo Especial tenía que ver con evitar lo que está sucediendo”, sostuvo. 


SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",12734,72,99,NA,"RPP|RPP Noticias|Noticias Peru|Perú"
"xWvTFW7rb6U","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-21,"Pardo sobre el dengue: “tenemos que preparar a la población con mucho trabajo comunitario”","¿Cómo evitar que el dengue se convierta en un problema mayor en el país? Karim Pardo, dir de la dirección de prevención de enfermedades metaxénicas y zoonóticas del MINSA, se pronuncia sobre el tema en RPP. 


SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",456,2,0,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Lima|Noticias|Información|Directo En Directo|Peruanos|Peruanos en USA|Programas peruanos|Programas del Perú|Radio Programas del Perú|Noticias del Perú|coronavirus en Perú|Vizcarra hoy|Casos de coronavirus hoy|casos covid hoy|pacientes hospitalizados|dengue|CASOS DE DENGUE|DENGUE SELVA|selva peruana|Carlos Calampa|director regional de salud de Loreto|KARIM PARDO"
"22lJEd2Nx8I","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-22,"García: “cepa del virus permitirá desarrollar propuestas de nuevas pruebas de diagnóstico”","Investigadores del Inst. Nacional de Salud del Minsa (INS) logran aislar cepa del virus sars-cov-2 causante de la COVID-19. Paquita García, tecnóloga médica del INS y responsable de la investigación, nos explica la importancia de este estudio. 

SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",5106,14,83,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Lima|Noticias|Información|Directo En Directo|Peruanos|Peruanos en USA|Programas peruanos|Programas del Perú|Radio Programas del Perú|Noticias del Perú|coronavirus en Perú|Vizcarra hoy|Casos de coronavirus hoy|casos covid hoy|Investigadores del Inst. Nacional de Salud|Minsa|INS|aislar|Cepa del virus|sars-cov-2|Paquita García|tecnóloga médica"
"twCxblIPXjY","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-27,"MINSA y UNICEF realizarán estudio para conocer los problemas de salud mental en menores","UNICEF alertó que la falta de ejercicio físico y sociabilización son factores que más han afectado a los niños durante la pandemia. María Elena Ugaz, oficial de Desarrollo Infantil Temprano de UNICEF detalla un estudio que el MINSA y UNICEF realizarán para determinar la presencia de problemas en la salud mental de los niños ¿cómo participar?

El estudio se llevará a cabo a nivel de nacional y los padres o cuidadores interesados en participar del mismo pueden ingresar al siguiente link hasta el 15 de noviembre: https://bit.ly/3m61ojc.
 


SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",567,4,7,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Lima|Noticias|Información|Directo En Directo|Peruanos|Peruanos en USA|Programas peruanos|Programas del Perú|Radio Programas del Perú|Noticias del Perú|coronavirus en Perú|Vizcarra hoy|Casos de coronavirus hoy|casos covid hoy|MINSA|UNICEF|estudio|problemas de salud mental|María Elena Ugaz|Desarrollo Infantil Temprano|salud mental"
"f4v2NW6nj-I","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-27,"Ragi Burhum: “no hay una estandarización de los datos COVID-19 en las regiones del país”","Continúa desfase en cifras de la COVID-19 entre direcciones regionales de salud y sala situacional del MINSA ¿cómo esta diferencia entre los datos puede complicar el análisis y definición de estrategias sanitarias? Ragi Burhum, científico computacional y autor del artículo “el martillazo y el huayno”, se pronuncia sobre el tema. 

SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",1205,3,14,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Lima|Noticias|Información|Directo En Directo|Peruanos|Peruanos en USA|Programas peruanos|Programas del Perú|Radio Programas del Perú|Noticias del Perú|coronavirus en Perú|Vizcarra hoy|Casos de coronavirus hoy|casos covid hoy|desfase en cifras|direcciones regionales de salud|análisis|estrategias sanitarias|Ragi Burhum|científico computacional"
"FbWmVIfi0KQ","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-28,"COVID-19: ¿Qué es lo último que se sabe sobre el uso de mascarillas?","El médico infectólogo del Minsa, Salomón Durand, explicó la importancia, para qué sirven y en qué se basa la efectividad de las mascarillas.

#QuédateEnCasa
SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",9338,63,120,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Programas peruanos|Programas del Perú|Noticias del Perú|coronavirus peru|estado de emergencia peru|COVID-19 en Perú|Martín Vizcarra|cuarentena peru|Walter martos"
"67VaIerlpc0","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-28,"Difteria en el Perú: 7 y 8 de noviembre será la 1era campaña de vacunación casa por casa","Tras 20 años vuelve a reportarse un caso de difteria en el país ¿Qué causa esta enfermedad? Luis Rodríguez, jefe del Centro Nacional de Epidemiología del MINSA, anunció en RPP campañas de vacunación casa por casa para el 7 y 8 de noviembre, y para el 12 Y 13 de diciembre. 


SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",21208,84,122,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Lima|Noticias|Información|Directo En Directo|Peruanos|Peruanos en USA|Programas peruanos|Programas del Perú|Radio Programas del Perú|Noticias del Perú|coronavirus en Perú|Vizcarra hoy|Casos de coronavirus hoy|casos covid hoy|difteria en el país|COMO ES LA DIFTERIA|QUE ES LA DIFTERIA|DIFTERIA SÍNTOMAS|TENGO DIFTERIA|LUIS Rodríguez|Epidemiología|MINSA|campañas de vacunación|VACUNAS DIFTERIA"
"ISAxY42wwU4","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-29,"Minsa confirma primer caso de difteria en el país después de 20 años","El exdecano del Colegio Médico de Lima, Raúl Urquizo, explicó los síntomas de la difteria a propósito del primer caso en Lima luego de 20 años.

#QuédateEnCasa
SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",2120,6,27,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Programas peruanos|Programas del Perú|Noticias del Perú|coronavirus peru|estado de emergencia peru|COVID-19 en Perú|Martín Vizcarra|cuarentena peru|Walter martos|difteria|sintomas de difteria|tratamiento contra la difteria|difteria peru|casos de difteria|vacunacion difteria"
"CAS3thAO374","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-30,"¿Cómo impacta la COVID-19 en la lucha contra la anemia?","El director de cuidado integral y curso de vida Minsa, Boris Verona, detalló cómo impacta la pandemia del COVID-19 en la lucha contra la anemia en Perú.

#QuédateEnCasa
SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",1535,2,15,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Programas peruanos|Programas del Perú|Noticias del Perú|coronavirus peru|estado de emergencia peru|COVID-19 en Perú|Martín Vizcarra|cuarentena peru|Walter martos|campaña contra la anemia|boris verona"
"hpvX-oE4qOw","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-30,"¿Cuánto tiempo duran los anticuerpos en las personas que tuvieron COVID-19?","El médico epidemiólogo y miembro del grupo ‘Prospectiva’ del Minsa, César Cárcamo, explicó cuánto tiempo duran los anticuerpos en las personas que tuvieron COVID-19.

#QuédateEnCasa
SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",53987,243,511,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Programas peruanos|Programas del Perú|Noticias del Perú|coronavirus peru|estado de emergencia peru|COVID-19 en Perú|Martín Vizcarra|cuarentena peru|Walter martos|cesar carcamo|elmer huerta|elmer huerta cnn|anticuerpos covid|anticuerpos|covid|casos covid"
"DFVp6-usT1o","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-31,"COVID-19: “reinfección es poco frecuente pero puede ocurrir”","El médico epidemiólogo e integrante del Grupo Prospectiva del Minsa, César Cárcamo, sostuvo que es probable que hayan casos de reinfección del virus COVID-19.

#QuédateEnCasa
SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",7391,104,41,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Programas peruanos|Programas del Perú|Noticias del Perú|coronavirus peru|estado de emergencia peru|COVID-19 en Perú|Martín Vizcarra|cuarentena peru|Walter martos|cesar carcamo|reinfeccion de covid"
"EtUSLpIR0DA","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-11-04,"Plasma convaleciente no es eficiente contra la COVID-19","El médico epidemiólogo, Edward Mezones-Holguin, expresó que las investigaciones demuestran que el plasma convaleciente no es eficaz para tratar la COVID-19.


#QuédateEnCasa
SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",1016,9,8,NA,"RPP|RPP Noticias|Noticias Peru|Perú|NO COMBATE COVID-19|Programas peruanos|Programas del Perú|Noticias del Perú|coronavirus peru|estado de emergencia peru|COVID-19 en Perú|Martín Vizcarra|cuarentena peru|Walter martos|PLASMA CONVALECIENTE|vacuna contra covid|vacuna covid|edward mezones|elmer huerta"
"uGhKYUh4gXw","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-11-05,"¡ATENCIÓN!: Minsa confirma cuatro nuevos casos de difteria en Lima","Una segunda persona falleció a consecuencia de la difteria, luego de 20 años de registrarse el último caso de dicha enfermedad en el Perú, según fuentes del Ministerio de Salud (Minsa).

NOTA RELACIONADA
Minsa: El 7 y 8 de noviembre se realizará la vacunación contra la difteria
https://rpp.pe/peru/actualidad/minsa-el-7-y-8-de-noviembre-se-realizara-la-vacunacion-contra-la-difteria-noticia-1301066

#QuédateEnCasa
SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",22940,144,172,NA,"RPP|RPP Noticias|Noticias Peru|Perú|difteria peru|difteria lima|difteria cayetano heredia|mujer muere por difteria|vacunacion contra la difteria|vacunacion gratuita|minsa|difteria|rebrote de difteria|difteria en peru|covid peru|casos hoy|vacuna difteria|campaña de vacunacion|vacunacion gratuita difteria"
"E5pMHW6dO8Y","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-11-05,"Difteria en el Perú: “tenemos que llegar al 95% de cobertura en la vacunación”","Más de 683 mil niños menores de cinco años podrían contagiarse de difteria mientras que el MINSA emite alerta epidemiológica nacional por quinto caso en lima ¿qué otras enfermedades podrían reaparecer por falta de vacunación? Aldo Lucchetti, dir. Gral. de la dirección general de Intervenciones Estratégicas en Salud Pública, habló sobre el tema en RPP. 


SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",6843,69,110,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Lima|Noticias|Información|Directo En Directo|Peruanos|Peruanos en USA|Programas peruanos|Programas del Perú|Radio Programas del Perú|Noticias del Perú|coronavirus en Perú|Vizcarra hoy|Casos de coronavirus hoy|casos covid hoy|niños menores de cinco|difteria|MINSA|alerta epidemiológica|vacunación|Aldo Lucchetti|Intervenciones Estratégicas|Salud Pública|vacunas para adultos"
